epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9717,1.53509,2.91583,1.87153,0.53295,0.47829,0.48325,0.25386,1.69955,2.0993,2.22056,0.00332407,0.00332407,0.00332407
2,130.067,1.44568,1.87247,1.74788,0.59583,0.55018,0.56744,0.30574,1.6772,1.6778,2.17445,0.0065915,0.0065915,0.0065915
3,190.112,1.50316,2.00084,1.80208,0.43277,0.33469,0.30854,0.13863,2.04865,2.55156,2.8295,0.00979292,0.00979292,0.00979292
4,250.368,1.59146,2.24481,1.88897,0.50078,0.47202,0.46958,0.23911,1.8116,2.01347,2.35206,0.009703,0.009703,0.009703
5,310.33,1.54533,2.06765,1.8433,0.57108,0.50165,0.52435,0.2587,1.82658,1.80678,2.37851,0.009604,0.009604,0.009604
6,370.539,1.4981,1.91097,1.80208,0.61305,0.56731,0.57694,0.31337,1.66421,1.59101,2.20884,0.009505,0.009505,0.009505
7,430.543,1.4649,1.80842,1.76495,0.64479,0.5881,0.59392,0.32073,1.68608,1.5794,2.22189,0.009406,0.009406,0.009406
8,490.784,1.43687,1.69888,1.73954,0.68485,0.60758,0.63692,0.35651,1.61268,1.44056,2.14218,0.009307,0.009307,0.009307
9,550.946,1.4165,1.62879,1.71413,0.69491,0.61749,0.63535,0.3569,1.63038,1.3971,2.13755,0.009208,0.009208,0.009208
10,611.06,1.386,1.56106,1.68752,0.71746,0.62931,0.66318,0.37433,1.59647,1.36937,2.09773,0.009109,0.009109,0.009109
11,670.792,1.38138,1.50383,1.68162,0.75446,0.65533,0.69244,0.39598,1.55588,1.31441,2.06931,0.00901,0.00901,0.00901
12,731.056,1.36225,1.4604,1.66984,0.76557,0.6625,0.70145,0.41107,1.52208,1.20083,2.02974,0.008911,0.008911,0.008911
13,791.646,1.34886,1.43624,1.65417,0.76415,0.66285,0.71246,0.41679,1.52272,1.21218,2.03742,0.008812,0.008812,0.008812
14,851.537,1.33089,1.38188,1.64665,0.77732,0.67335,0.71716,0.41776,1.51215,1.17745,2.01315,0.008713,0.008713,0.008713
15,912.28,1.30577,1.33096,1.62366,0.79639,0.65344,0.71692,0.42572,1.50951,1.1846,2.00684,0.008614,0.008614,0.008614
16,972.332,1.3036,1.29431,1.61563,0.82549,0.67249,0.73033,0.43627,1.52693,1.12543,2.01229,0.008515,0.008515,0.008515
17,1032.56,1.29077,1.26197,1.60408,0.78628,0.69505,0.73965,0.44082,1.52146,1.09028,2.02033,0.008416,0.008416,0.008416
18,1092.44,1.27963,1.23631,1.59364,0.80534,0.69031,0.7375,0.44223,1.51128,1.10955,2.00109,0.008317,0.008317,0.008317
19,1152.24,1.25629,1.21581,1.58123,0.82874,0.67698,0.74716,0.43686,1.54725,1.10851,2.02656,0.008218,0.008218,0.008218
20,1212.17,1.24737,1.1834,1.57579,0.83176,0.6948,0.75527,0.456,1.49037,1.06738,1.99201,0.008119,0.008119,0.008119
21,1272.08,1.25106,1.17715,1.56916,0.80125,0.7137,0.75662,0.45496,1.4958,1.04345,1.98811,0.00802,0.00802,0.00802
22,1332.59,1.23081,1.13178,1.55102,0.81723,0.70274,0.73949,0.4337,1.51833,1.08151,2.02671,0.007921,0.007921,0.007921
23,1392.83,1.22904,1.11226,1.55445,0.8233,0.69246,0.74959,0.45422,1.47745,1.04515,1.98868,0.007822,0.007822,0.007822
24,1452.92,1.209,1.09133,1.53018,0.85179,0.69429,0.76194,0.45216,1.49579,1.01855,1.98199,0.007723,0.007723,0.007723
25,1512.54,1.1952,1.06701,1.52382,0.81355,0.70997,0.76231,0.46019,1.46864,1.03505,1.96695,0.007624,0.007624,0.007624
26,1572.73,1.17897,1.04488,1.51196,0.82588,0.72126,0.77249,0.4628,1.47419,0.99647,1.98189,0.007525,0.007525,0.007525
27,1633.42,1.18181,1.02844,1.50471,0.82406,0.71947,0.75639,0.45665,1.48222,1.00946,1.99084,0.007426,0.007426,0.007426
28,1693.02,1.16282,1.01577,1.4993,0.8271,0.71631,0.77311,0.46151,1.50867,1.00452,2.00352,0.007327,0.007327,0.007327
29,1753.01,1.1571,1.0039,1.48904,0.84631,0.71637,0.77106,0.45702,1.51609,1.02184,2.0019,0.007228,0.007228,0.007228
30,1812.79,1.15112,0.99444,1.48375,0.83796,0.7125,0.76636,0.46563,1.49839,0.99746,1.99335,0.007129,0.007129,0.007129
31,1873.01,1.12894,0.9647,1.46812,0.87106,0.70437,0.7772,0.46726,1.48192,0.97758,1.98527,0.00703,0.00703,0.00703
32,1933.29,1.1301,0.95873,1.46445,0.8424,0.72886,0.78188,0.46984,1.50352,0.95327,2.01582,0.006931,0.006931,0.006931
33,1993.48,1.10792,0.9407,1.45232,0.84679,0.71663,0.76887,0.46755,1.52332,0.97956,2.04966,0.006832,0.006832,0.006832
34,2054.03,1.10169,0.9252,1.44711,0.8394,0.71291,0.76369,0.46401,1.51303,0.99049,2.03131,0.006733,0.006733,0.006733
35,2115.73,1.08657,0.89971,1.43321,0.83587,0.73129,0.77888,0.47043,1.50139,0.96832,2.0226,0.006634,0.006634,0.006634
36,2175.85,1.07412,0.89009,1.42356,0.83208,0.7235,0.77634,0.46684,1.51197,0.99438,2.054,0.006535,0.006535,0.006535
37,2236.25,1.06846,0.88403,1.41862,0.84011,0.71522,0.77377,0.46556,1.52307,0.96387,2.0631,0.006436,0.006436,0.006436
38,2295.5,1.06109,0.86727,1.41212,0.84315,0.73134,0.78159,0.467,1.5259,0.94864,2.08995,0.006337,0.006337,0.006337
39,2355.63,1.04853,0.86253,1.40708,0.84189,0.73033,0.7794,0.46592,1.52694,0.96764,2.0827,0.006238,0.006238,0.006238
40,2415.32,1.03719,0.84048,1.39136,0.83687,0.72684,0.77982,0.47077,1.50147,0.95898,2.06879,0.006139,0.006139,0.006139
41,2476.1,1.03228,0.83937,1.38853,0.83678,0.7401,0.78269,0.47526,1.50676,0.96293,2.07628,0.00604,0.00604,0.00604
42,2536.81,1.0186,0.80859,1.37774,0.84887,0.69998,0.76662,0.46395,1.53095,0.98796,2.1182,0.005941,0.005941,0.005941
43,2597.48,1.00873,0.81667,1.37624,0.8427,0.72207,0.77938,0.4745,1.51789,0.94781,2.08835,0.005842,0.005842,0.005842
44,2657.69,1.00797,0.79653,1.36755,0.82809,0.74233,0.78045,0.46684,1.52306,0.96904,2.10405,0.005743,0.005743,0.005743
